predictor,  word,  occPerM
city,  is,  12
civil,  rights,  11
civil,  war,  11
claim,  to,  5
class,  and,  20
class,  is,  20
class,  of,  17
classes,  for,  6
classes,  are,  6
classes,  and,  5
clean,  up,  15
clean,  my,  9
clean,  and,  6
cleaning,  up,  8
cleaning,  my,  8
cleaning,  the,  5
click,  on,  17
click,  the,  9
clients,  and,  5
climate,  change,  5
close,  to,  83
close,  your,  9
close,  the,  7
closed,  on,  8
closed,  today,  7
closed,  for,  6
closer,  to,  34
clothes,  and,  6
club,  in,  8
club,  and,  6
club,  is,  6
clue,  what,  7
coach,  of,  5
coach,  and,  5
code,  for,  9
code,  to,  5
coffee,  and,  26
coffee,  is,  14
coffee,  shop,  12
cold,  and,  14
cold,  in,  11
cold,  outside,  7
collection,  of,  9
college,  football,  12
college,  basketball,  7
college,  and,  7
color,  of,  6
color,  is,  6
combination,  of,  9
combo,  of,  5
come,  to,  234
come,  on,  185
come,  out,  114
comedy,  show,  5
comes,  to,  59
comes,  out,  36
comes,  from,  23
comic,  book,  12
comin,  to,  5
coming,  to,  148
coming,  up,  88
coming,  soon,  80
comment,  on,  15
comments,  on,  10
comments,  about,  5
commercial,  for,  6
commercial,  is,  5
commercials,  are,  5
commit,  to,  6
commitment,  to,  9
committed,  to,  11
common,  sense,  11
communication,  is,  5
community,  is,  6
community,  and,  6
community,  college,  6
company,  is,  8
company,  that,  7
company,  in,  6
compare,  to,  5
compared,  to,  25
compete,  with,  7
complain,  about,  17
complaining,  about,  12
complete,  with,  5
complete,  the,  5
completely,  agree,  7
completely,  different,  6
computer,  is,  6
computer,  and,  6
concentrate,  on,  6
concept,  of,  8
concerned,  about,  10
concert,  in,  13
concert,  tonight,  11
concert,  at,  8
condolences,  to,  5
conference,  in,  18
conference,  call,  8
conference,  on,  6
confidence,  in,  5
congrats,  to,  154
congrats,  on,  108
congrats,  and,  12
congratulations,  to,  58
congratulations,  on,  24
congratulations,  and,  5
connect,  with,  25
connect,  to,  6
connected,  to,  9
connected,  with,  6
connecting,  with,  7
connection,  to,  5
consider,  it,  10
consider,  the,  6
considered,  a,  7
considering,  the,  6
