occPerM; word
176; learning
175; vote
175; tour
175; save
175; months
175; fact
175; stand
174; da
174; sent
174; hopefully
174; m
174; cut
172; answer
172; feels
171; company
171; knows
171; brother
171; april
171; worst
171; center
169; songs
169; nigga
168; community
168; sitting
168; national
168; met
167; justin
166; link
166; hurt
166; loving
165; takes
165; front
165; tuesday
165; message
165; fb
165; asked
164; dreams
164; lucky
163; smh
163; moving
162; wearing
162; blue
162; available
162; case
162; folks
162; country
162; ball
162; beach
162; heading
161; concert
161; act
161; played
161; breakfast
160; rip
160; hold
160; pic
160; watched
160; sharing
160; football
160; exactly
160; thoughts
160; opening
160; forgot
159; shoot
159; enjoyed
159; area
158; alone
158; iphone
158; ideas
158; rather
157; questions
157; heat
157; cannot
156; record
156; ice
156; ride
156; gift
156; pizza
156; afternoon
155; sports
155; sex
155; whats
155; pass
155; bored
155; session
155; strong
155; obama
155; loves
155; road
154; son
153; hoping
153; absolutely
152; kill
152; air
151; cover
151; speak
151; vegas
150; test
150; rd
150; lil
150; wake
150; contact
150; interview
149; truth
149; needed
149; ladies
148; hang
148; sexy
148; gym
148; sister
147; parents
147; possible
147; bought
147; star
146; west
146; paper
146; trust
146; along
145; march
145; missing
145; snow
145; retweet
145; today's
145; bus
145; happens
144; we've
144; quite
144; market
144; bc
143; especially
143; enjoying
143; internet
143; miami
142; wife
142; holiday
142; health
142; mothers
142; wednesday
142; spend
141; plans
141; movies
140; often
140; chocolate
140; congratulations
140; realize
140; sense
139; tip
139; inside
139; mr
138; program
138; evening
138; ny
138; laugh
138; lead
138; baseball
138; studio
137; practice
137; wtf
137; million
137; yep
137; design
136; step
136; door
136; america
135; winning
135; june
135; gay
135; whatever
135; yours
135; serious
135; finish
135; round
135; goal
134; chicken
134; seem
133; hands
133; episode
133; fantastic
133; suck
132; article
132; straight
132; mt
132; mother
132; awkward
132; data
132; south
132; marketing
132; details
131; somebody
131; aw
131; due
131; card
131; xd
131; chris
130; jesus
130; cry
130; peace
130; til
130; jobs
130; minute
130; exciting
130; building
129; driving
129; fat
129; everyday
129; mother's
128; shopping
128; walking
128; drinking
128; boston
128; training
128; shut
127; touch
127; idk
127; sat
127; track
127; lord
127; player
127; space
127; bill
127; sale
127; mark
127; plus
127; etc
126; pictures
126; longer
126; issue
126; looked
126; student
126; church
126; players
126; cheese
125; near
125; basketball
125; children
125; easter
125; choice
125; boyfriend
125; death
125; self
125; extra
124; york
124; cat
123; personal
123; middle
123; fresh
123; photo
123; lovely
122; texas
122; web
122; headed
122; pain
122; shirt
122; figure
121; pics
121; hungry
121; child
121; eye
121; q
121; liked
121; smart
121; lives
120; coach
120; quick
120; type
120; calling
120; attention
120; computer
119; officially
119; holy
119; nobody
119; jealous
119; energy
118; respect
118; planning
118; apparently
118; didnt
118; singing
118; asking
117; youtube
117; worry
117; meant
117; stage
117; spot
117; sit
117; teacher
117; hearing
117; kick
117; joke
117; fair
117; race
117; slow
117; create
116; law
116; box
116; throw
116; field
116; tuned
116; btw
116; problems
116; drop
115; bday
115; putting
115; seattle
115; research
115; dress
115; leaving
115; worse
115; sir
115; posted
115; action
115; board
114; artist
114; learned
114; quote
114; president
114; telling
114; re
114; delicious
114; clean
114; woke
114; mike
113; advice
113; james
113; celebrate
113; four
113; changed
113; brown
113; tough
113; shop
113; random
113; piece
113; g
112; release
112; biggest
112; tea
112; de
112; cake
112; poor
112; swear
112; system
112; bowl
111; paul
111; spent
111; david
111; control
111; dr
111; drunk
111; truly
111; issues
111; chat
111; king
111; grow
111; downtown
111; aint
111; sing
111; east
111; tech
110; dark
110; cream
110; wins
110; hilarious
110; human
110; cc
109; mobile
109; crap
109; milwaukee
109; entire
109; bitches
109; low
109; ahead
109; videos
109; daily
109; performance
109; dick
109; age
108; imagine
108; content
108; excellent
108; education
108; cup
108; north
108; gorgeous
108; double
108; nfl
107; goodnight
107; agreed
107; buddy
107; alright
107; unless
107; photos
107; events
107; key
107; network
107; boo
106; style
106; warm
106; major
106; felt
106; thinks
106; expect
106; y
106; stuck
105; likes
105; florida
105; train
105; goin
105; gives
105; wedding
105; taken
105; study
105; count
105; lie
104; focus
104; ticket
